year,month,mean_daily_max_temp_c,mean_daily_min_temp_c,day_air_frost,rainfall_mm,,
1996,9,18.90,10.60,0,53.50,,
1996,8,22.00,12.40,0,136.70,,
1996,7,22.10,12.60,0,49.10,,
1996,6,20.70,9.90,0,18.70,,
1997,1,5.80,-0.10,15,15.50,,
1997,12,9.90,3.30,8,150.00,,
1997,2,10.60,3.90,4,181.20,,
1997,3,12.20,5.00,0,42.30,,
1997,11,12.40,6.10,2,163.40,,
1997,4,15.10,4.90,0,34.00,,
1997,10,15.10,7.30,3,84.90,,
1997,5,17.20,7.80,0,97.90,,
1997,6,18.90,11.60,0,100.20,,
1997,9,19.00,10.90,0,69.90,,
1997,7,22.10,12.50,0,42.60,,
1997,8,23.30,15.50,0,251.00,,
1998,1,8.80,2.70,9,154.90,,
1998,12,9.60,1.90,9,130.70,,
1998,11,10.60,3.40,7,118.70,,
1998,2,11.60,3.30,5,22.00,,
1998,4,12.20,5.50,1,129.60,,
1998,3,12.30,5.80,1,168.20,,
1998,6,18.10,12.00,0,157.80,,
1998,9,19.10,11.50,0,118.50,,
1998,5,19.20,10.40,0,45.50,,
1998,7,19.80,12.30,0,66.90,,
1998,8,20.90,12.40,0,59.10,,
1998,10,14.60,7.80,0,228.80,,
1999,2,9.10,2.80,7,64.10,,
1999,12,9.30,2.20,9,231.00,,
1999,1,10.20,2.30,6,208.30,,
1999,3,11.80,3.60,3,70.20,,
1999,11,11.80,4.50,1,60.50,,
1999,4,13.80,5.70,5,109.00,,
1999,10,15.20,7.30,0,90.30,,
1999,5,17.50,9.50,0,75.20,,
1999,6,19.10,8.90,0,71.00,,
1999,9,20.20,10.90,0,176.40,,
1999,8,21.30,12.70,0,204.00,,
1999,7,23.10,13.00,0,12.90,,
2000,1,8.50,1.20,15,47.80,,
2000,12,9.90,4.60,6,187.70,,
2000,2,10.40,3.00,6,168.40,,
2000,11,11.10,3.20,4,180.40,,
2000,3,11.80,4.10,3,59.50,,
2000,4,12.30,4.50,1,155.40,,
2000,10,15.00,7.10,0,267.60,,26.00
2000,5,17.20,8.10,0,95.10,,
2000,9,19.30,11.40,0,156.80,,
2000,6,20.20,11.20,0,37.10,,
2000,7,20.80,12.40,0,74.50,,
2000,8,21.90,13.00,0,73.90,,
2001,1,7.80,1.80,5,84.00,,
2001,12,8.40,1.30,12,36.10,,
2001,3,9.50,2.80,7,147.50,,
2001,2,10.10,1.70,13,96.50,,
2001,11,12.20,4.00,5,86.60,,
2001,4,12.90,4.50,2,119.10,,
2001,10,17.20,11.00,0,183.40,,
2001,5,18.10,8.70,0,31.60,,
2001,9,18.50,10.50,0,36.50,,
2001,6,20.20,10.20,0,34.80,,
2001,8,21.10,13.60,0,134.30,,
2001,7,21.60,13.10,0,144.60,,
2002,1,9.80,3.70,2,142.00,,
2002,2,11.10,4.60,3,187.60,,
2002,3,12.50,5.00,2,65.10,,
2002,11,12.80,7.10,0,175.60,,
2002,4,14.60,5.60,1,84.70,,
2002,10,14.70,7.10,2,217.10,,
2002,5,16.50,8.50,0,129.80,,
2002,6,18.40,10.60,0,66.00,,
2002,9,19.60,10.70,0,30.50,,
2002,7,20.50,12.50,0,65.90,,
2002,8,21.70,12.90,0,55.90,,
2002,12,8.90,4.60,0,151.10,,
2003,1,8.60,2.30,11,90.60,,
2003,2,8.70,1.90,8,39.90,,
2003,12,9.60,3.10,5,138.10,,
2003,11,12.50,6.00,3,105.30,,
2003,3,13.60,4.50,2,47.10,,
2003,10,14.40,5.70,7,65.40,,
2003,4,16.20,6.20,1,70.30,,
2003,5,16.70,8.40,0,93.00,,
2003,9,20.50,9.50,0,23.10,,
2003,6,21.30,11.70,0,68.40,,
2003,7,22.00,13.80,0,93.90,,
2003,8,24.50,14.70,0,16.20,,
2004,1,9.40,3.00,7,162.20,,
2004,2,9.60,2.90,9,67.30,,
2004,12,9.70,3.50,9,84.50,,
2004,3,11.40,3.80,3,85.60,,
2004,11,12.00,6.00,0,65.60,,
2004,4,14.70,6.30,1,73.80,,
2004,10,15.00,8.30,0,182.50,,
2004,5,18.30,8.80,0,40.00,,
2004,9,19.50,11.60,0,107.40,,
2004,7,20.70,12.60,0,82.50,,
2004,6,21.20,12.30,0,65.90,,
2004,8,22.30,13.70,0,141.70,,
2005,2,8.80,2.40,5,49.50,,
2005,12,9.30,2.40,5,114.70,,
2005,1,10.40,3.90,4,75.00,,
2005,11,10.90,3.00,11,106.10,,
2005,3,11.60,4.80,8,65.20,,
2005,4,14.70,6.60,2,87.60,,
2005,5,17.20,8.30,0,51.60,,
2005,6,20.60,12.20,0,76.60,,
2005,7,22.20,13.90,0,69.90,,
2005,10,16.60,11.40,0,160.00,,
2005,9,20.40,11.60,0,82.80,,
2005,8,21.90,11.60,0,55.60,,
2006,2,7.70,2.30,6,59.00,,
2006,1,8.00,2.90,4,36.00,,
2006,3,9.50,3.50,5,121.80,,
2006,12,10.10,3.90,5,147.10,,
2006,11,12.50,3.60,5,178.10,,
2006,4,14.10,6.20,3,35.10,,
2006,10,16.80,8.80,0,178.10,,
2006,5,17.00,8.90,0,159.20,,
2006,8,21.10,13.20,0,58.90,,
2006,9,21.30,12.70,0,43.40,,
2006,6,21.90,11.80,0,47.40,,
2006,7,25.50,14.50,0,65.60,,
2007,2,10.00,3.70,7,152.30,,
2007,1,10.50,4.20,2,178.90,,
2007,3,12.60,4.30,1,89.50,,
2007,10,14.90,6.70,0,57.00,,
2007,9,18.50,10.20,0,53.10,,
2007,11,12.00,4.90,3,88.40,,
2007,5,17.40,8.70,0,128.50,,
2007,4,18.40,7.00,0,21.80,,
2007,7,19.30,12.60,0,173.80,,
2007,6,20.10,12.10,0,104.70,,
2007,8,21.10,11.70,0,71.30,,
2007,12,9.00,2.90,9,171.50,,
2008,12,7.00,0.60,18,64.60,,
2008,11,11.50,5.80,1,93.30,,
2008,4,13.90,4.70,5,59.90,,
2008,10,15.20,6.10,3,113.00,,
2008,9,18.80,10.10,0,197.80,,
2008,5,19.40,9.90,0,95.30,,
2008,6,19.70,10.50,0,63.80,,
2008,8,20.30,13.10,0,170.20,,
2008,7,21.20,12.60,0,138.40,,
2008,2,10.20,2.40,7,44.50,,
2008,1,10.60,4.40,1,170.60,,
2008,3,10.80,3.90,2,98.70,,
2009,1,6.60,0.40,17,153.50,,
2009,12,7.20,0.40,15,114.90,,
2009,2,7.70,1.90,12,43.60,,
2009,3,11.00,2.60,4,51.80,,
2009,11,12.60,6.50,0,220.40,,
2009,4,13.90,5.90,1,53.50,,
2009,10,16.30,8.60,0,73.60,,
2009,5,17.10,8.50,0,68.00,,
2009,9,19.10,10.60,0,34.70,,
2009,7,20.20,13.10,0,194.10,,
2009,8,20.70,13.00,0,76.00,,
2009,6,21.00,11.50,0,114.80,,
2010,12,3.90,-3.40,24,39.80,,
2010,1,5.70,-1.10,15,73.50,,
2010,2,7.30,0.80,7,72.10,,
2010,11,9.40,2.70,8,101.00,,
2010,3,10.80,2.80,10,72.60,,
2010,4,15.10,5.00,0,28.70,,
2010,5,17.10,7.50,1,28.50,,
2010,8,20.60,12.00,0,144.60,,
2010,6,21.90,11.10,0,21.90,,
2010,7,22.00,13.70,0,88.00,,
2010,10,14.80,7.40,2,82.80,,
2010,9,18.60,10.20,0,94.80,,
2011,1,7.30,1.60,11,122.20,,
2011,2,10.20,4.70,3,80.40,,
2011,12,10.20,3.70,5,145.20,,
2011,3,12.00,3.80,5,22.60,,
2011,11,13.40,7.70,0,84.00,,
2011,5,16.80,9.00,0,56.70,,
2011,10,16.90,9.90,0,81.60,,
2011,4,18.20,8.00,0,5.10,,
2011,6,18.70,10.30,0,88.90,,
2011,9,19.40,12.10,0,97.80,,
2011,8,19.90,12.00,0,64.40,,
2011,7,20.70,11.80,0,80.60,,
2012,2,8.50,1.70,11,35.80,,
2012,12,9.40,2.50,12,229.40,,
2012,1,9.60,3.80,7,140.40,,
2012,11,10.90,4.00,4,162.60,,
2012,4,12.50,4.40,1,160.00,,
2012,3,13.90,4.60,2,27.20,,
2012,10,13.90,7.00,1,158.20,,
2012,5,17.40,8.50,0,66.80,,
2012,6,17.90,11.60,0,180.80,,
2012,9,17.90,9.20,0,94.60,,
2012,7,20.10,11.90,0,123.20,,
2012,8,20.90,13.80,0,117.40,,
2013,2,7.00,1.30,6,56.60,,
2013,3,7.10,1.10,13,107.00,,
2013,1,7.30,2.40,10,145.00,,
2013,12,10.60,3.30,4,159.60,,
2013,11,10.80,3.10,6,93.80,,
2013,4,12.10,4.10,3,46.20,,
2013,5,16.00,6.80,0,89.20,,
2013,10,16.70,10.20,0,230.60,,
2013,9,18.70,10.90,0,68.20,,
2013,6,19.10,10.90,0,39.20,,
2013,8,22.00,12.90,0,74.20,,
2013,7,25.00,14.50,0,25.90,,
2014,1,9.60,3.20,5,234.60,,
2014,12,9.60,2.10,11,109.80,,
2014,2,10.10,4.10,1,161.40,,
2014,3,12.30,3.80,3,61.60,,
2014,11,12.40,6.30,2,155.80,,
2014,4,15.10,6.90,0,100.00,,
2014,10,16.40,10.10,0,122.60,,
2014,5,17.10,9.10,0,135.60,,
2014,8,19.90,11.40,0,185.10,,
2014,9,20.70,11.50,0,14.20,,
2014,6,21.30,12.10,0,76.80,,
2014,7,23.60,13.70,0,39.80,,
2015,2,8.30,1.30,9,124.20,,
2015,1,9.00,2.20,8,158.20,,
2015,3,11.00,3.50,3,55.80,,
2015,12,13.20,8.70,0,191.40,,
2015,11,13.30,7.70,3,223.80,,
2015,10,15.60,8.20,0,47.40,,
2015,5,15.90,7.90,0,155.60,,
2015,4,16.10,6.00,0,9.80,,
2015,9,18.30,9.10,0,57.00,,
2015,6,19.60,10.80,0,50.40,,
2015,7,20.20,12.40,0,107.60,,
2015,8,20.30,12.30,0,129.00,,
2016,2,9.40,2.20,10,129.20,,
2016,1,9.60,2.90,7,221.00,,
2016,12,9.60,3.00,7,56.20,,
2016,11,10.30,3.50,4,152.20,,
2016,3,10.70,2.50,7,96.00,,
2016,4,13.20,4.70,2,46.60,,
2016,10,15.00,7.80,0,41.80,,
2016,5,18.50,9.00,0,109.60,,
2016,6,19.90,12.70,0,109.80,,
2016,9,20.10,13.00,0,109.00,,
2016,7,21.30,13.40,0,25.20,,
2016,8,21.60,13.20,0,95.20,,
2017,1,8.30,2.00,11,76.00,,
2017,12,9.30,2.80,11,152.90,,
2017,2,9.40,4.20,4,81.00,,
2017,11,11.80,3.50,5,82.20,,
2017,3,12.60,5.70,1,114.60,,
2017,4,15.00,4.90,2,14.20,,
2017,10,16.40,10.10,0,49.60,,
2017,9,18.30,10.20,0,102.80,,
2017,5,18.50,9.90,0,76.20,,
2017,8,20.50,12.20,0,69.40,,
2017,6,20.90,12.60,0,84.80,,
2017,7,21.40,13.10,0,116.80,,
2018,2,7.50,0.80,14,50.00,,
2018,3,9.10,2.50,6,163.40,,
2018,1,9.40,2.70,9,153.20,,
2018,12,10.60,5.50,1,196.40,,
2018,11,11.90,5.90,1,121.00,,
2018,4,14.00,7.20,0,129.40,,
2018,10,15.60,6.90,3,48.00,,
2018,9,18.70,10.10,0,89.80,,
2018,5,19.00,8.80,0,56.20,,
2018,8,21.40,13.10,0,129.80,,
2018,6,22.60,12.70,0,8.40,,
2018,7,25.40,14.70,0,46.00,,
2019,1,8.10,1.80,14,43.40,,
2019,11,10.30,4.70,2,158.20,,
2019,2,12.20,2.40,8,77.40,,
2019,3,12.70,5.20,0,139.60,,
2019,10,14.90,7.50,0,235.80,,
2019,4,15.00,6.30,1,84.40,,
2019,5,17.60,7.20,0,37.00,,
2019,6,19.20,11.50,0,84.60,,
2019,9,19.50,11.30,0,159.80,,
2019,8,21.90,13.70,0,137.40,,
2019,7,23.70,13.90,0,83.60,,
2019,12,10.00,3.80,6,162.10,,
2020,2,10.60,4.30,2,201.40,,
2020,3,11.70,3.90,2,104.00,,
2020,4,17.50,6.60,1,42.00,,
2020,5,19.40,8.20,0,15.40,,
2020,6,20.60,11.90,0,147.40,,
2020,7,20.60,12.60,0,98.40,,
2020,1,10.10,4.50,5,107.90,,
